-3,PER VEHICLE,2,Opposite,Directional,48.00,15,35.00,AB,Westfir store,4345.466&,N,12229.609&,W,Fred Gerding,5,19,11,14,51,5,24,11,14,44,North,South,F,F,F,F,7.00,T,95.00,F,T,T,T,Best Match,40.00,3.40,117.00,3.40,16.00,7.00,7.00,5.00,30,Div By 2,10,12,24,36,48,60,72,84,96,108,120
-2,"Westfir store","4345.466,N","12229.609,W","Fred Gerding","","","","041311-0101 OMG","Omega","1.25",PER VEHICLE,563.27,05/19/11,14:51:00,05/24/11,14:44:00,2,15
-1,1,"North",121.92,A-A,,Directional
-1,2,"South",121.92,A-A,,Directional
1,05/19/11,14:52:26.40,394.63,2,324.19,324.19
1,05/19/11,14:53:35.90,456.37,2,295.04,295.04
1,05/19/11,14:53:35.90,292.55,3,427.38,45.52,381.86
1,05/19/11,14:54:43.16,416.98,2,285.64,285.64
1,05/19/11,14:54:47.93,414.11,2,399.37,399.37
2,05/19/11,14:55:38.68,534.35,2,371.95,371.95
1,05/19/11,14:59:15.10,460.46,2,331.76,331.76
2,05/19/11,15:02:12.36,466.53,2,266.45,266.45
2,05/19/11,15:04:25.18,287.45,2,279.32,279.32
2,05/19/11,15:05:01.84,383.83,2,309.07,309.07
2,05/19/11,15:05:38.40,469.68,2,409.57,409.57
2,05/19/11,15:05:40.80,466.83,2,301.26,301.26
1,05/19/11,15:08:35.24,509.95,2,406.67,406.67
1,05/19/11,15:10:50.19,527.60,2,441.65,441.65
2,05/19/11,15:12:28.86,459.55,2,445.90,445.90
2,05/19/11,15:15:16.96,511.73,2,274.43,274.43
2,05/19/11,15:16:42.97,424.36,2,312.66,312.66
1,05/19/11,15:17:16.91,460.41,2,393.54,393.54
1,05/19/11,15:17:36.85,653.24,2,336.73,336.73
2,05/19/11,15:18:28.24,440.41,2,255.60,255.60
2,05/19/11,15:22:13.90,492.72,2,271.61,271.61
2,05/19/11,15:23:40.86,400.03,2,272.33,272.33
2,05/19/11,15:25:09.05,485.04,2,271.00,271.00
1,05/19/11,15:32:30.39,441.83,2,307.99,307.99
1,05/19/11,15:32:57.05,301.43,2,314.96,314.96
1,05/19/11,15:35:11.16,513.05,2,281.96,281.96
1,05/19/11,15:35:18.15,406.89,2,278.91,278.91
1,05/19/11,15:36:10.89,384.91,2,352.93,352.93
1,05/19/11,15:38:17.89,290.57,2,241.85,241.85
2,05/19/11,15:39:15.57,349.62,2,280.71,280.71
2,05/19/11,15:39:18.85,313.13,2,279.63,279.63
1,05/19/11,15:40:06.65,475.22,2,262.10,262.10
1,05/19/11,15:40:27.44,143.84,2,275.31,275.31
2,05/19/11,15:45:13.49,503.74,2,295.80,295.80
2,05/19/11,15:48:56.11,459.83,2,272.09,272.09
2,05/19/11,15:53:14.76,247.27,2,426.93,426.93
2,05/19/11,15:54:14.71,539.14,2,265.90,265.90
2,05/19/11,15:54:19.72,439.01,2,295.04,295.04
2,05/19/11,15:54:19.76,286.48,2,305.40,305.40
2,05/19/11,15:59:04.22,395.67,2,253.65,253.65
2,05/19/11,16:00:25.90,302.89,2,533.74,533.74
2,05/19/11,16:04:21.55,318.58,2,267.53,267.53
1,05/19/11,16:08:45.72,568.69,2,266.13,266.13
1,05/19/11,16:09:06.12,416.27,2,275.06,275.06
2,05/19/11,16:13:13.97,425.30,2,285.64,285.64
2,05/19/11,16:13:35.54,390.46,2,313.30,313.30
2,05/19/11,16:13:56.51,479.37,2,272.74,272.74
1,05/19/11,16:14:33.51,534.41,2,366.22,366.22
1,05/19/11,16:18:31.76,333.47,2,368.58,368.58
2,05/19/11,16:19:18.44,487.73,2,265.84,265.84
2,05/19/11,16:19:33.56,467.13,2,322.27,322.27
2,05/19/11,16:23:13.43,456.77,2,317.99,317.99
2,05/19/11,16:23:39.14,460.08,2,230.91,230.91
1,05/19/11,16:23:52.84,396.20,2,263.26,263.26
2,05/19/11,16:25:54.49,358.03,2,341.65,341.65
1,05/19/11,16:27:37.71,412.20,2,264.51,264.51
1,05/19/11,16:27:39.45,399.74,2,266.06,266.06
2,05/19/11,16:31:06.55,488.60,2,260.34,260.34
2,05/19/11,16:31:49.53,424.03,2,264.51,264.51
1,05/19/11,16:31:56.08,428.00,2,699.87,699.87
1,05/19/11,16:33:53.74,413.17,2,300.43,300.43
1,05/19/11,16:38:12.04,290.59,2,265.96,265.96
2,05/19/11,16:39:24.21,439.84,2,222.72,222.72
2,05/19/11,16:42:05.63,492.72,2,280.27,280.27
2,05/19/11,16:42:14.51,531.31,2,308.70,308.70
2,05/19/11,16:43:38.73,470.48,2,356.48,356.48
2,05/19/11,16:43:45.46,410.77,2,341.62,341.62
2,05/19/11,16:44:13.32,456.91,2,281.28,281.28
2,05/19/11,16:44:26.95,452.11,2,273.15,273.15
1,05/19/11,16:44:59.69,287.66,2,287.25,287.25
2,05/19/11,16:47:31.22,354.42,2,398.99,398.99
2,05/19/11,16:47:32.21,361.54,2,89.94,89.94
2,05/19/11,16:47:34.14,375.75,2,257.19,257.19
2,05/19/11,16:49:10.14,344.06,2,286.15,286.15
1,05/19/11,16:51:55.21,510.07,2,306.27,306.27
2,05/19/11,16:53:49.99,348.29,2,249.78,249.78
2,05/19/11,16:56:17.29,374.08,2,369.17,369.17
2,05/19/11,16:58:39.37,439.01,2,920.19,920.19
1,05/19/11,16:59:10.13,194.35,2,334.76,334.76
2,05/19/11,17:04:45.25,555.94,2,286.55,286.55
2,05/19/11,17:08:37.22,418.49,2,267.17,267.17
2,05/19/11,17:08:39.55,429.67,2,267.34,267.34
2,05/19/11,17:08:41.37,436.82,2,253.80,253.80
2,05/19/11,17:16:30.86,570.98,2,267.57,267.57
2,05/19/11,17:16:59.57,436.25,2,396.02,396.02
2,05/19/11,17:22:54.68,384.24,2,269.20,269.20
2,05/19/11,17:29:12.13,503.51,2,256.86,256.86
2,05/19/11,17:31:22.45,296.98,2,252.69,252.69
2,05/19/11,17:32:52.83,451.88,2,275.12,275.12
