-3,COUNT,2,Opposite,Normal,48.00,15,35.00,AB,Westfir store,4345.466&,N,12229.609&,W,Fred Gerding,5,19,11,14,51,5,24,11,14,44,North,South,F,F,F,F,7.00,T,95.00,F,T,T,T,Best Match,40.00,3.40,117.00,3.40,16.00,7.00,7.00,5.00,30,Div By 2,10,12,24,36,48,60,72,84,96,108,120
-2,"Westfir store","4345.466,N","12229.609,W","Fred Gerding","","","","041311-0101 OMG","Omega","1.25",COUNT,563.27,05/19/11,14:51:00,05/24/11,14:44:00,2,15
-1,1,"North",121.92,,PVR,Normal
-1,2,"South",121.92,,PVR,Normal
0,05/19/11,14:51:00,15,1,8,2,8
0,05/19/11,15:00:00,15,1,8,2,8
0,05/19/11,15:15:00,15,1,8,2,8
0,05/19/11,15:30:00,15,1,10,2,10
0,05/19/11,15:45:00,15,1,6,2,6
0,05/19/11,16:00:00,15,1,8,2,8
0,05/19/11,16:15:00,15,1,9,2,9
0,05/19/11,16:30:00,15,1,12,2,12
0,05/19/11,16:45:00,15,1,9,2,9
0,05/19/11,17:00:00,15,1,4,2,4
0,05/19/11,17:15:00,15,1,4,2,4
0,05/19/11,17:30:00,15,1,10,2,10
0,05/19/11,17:45:00,15,1,4,2,4
0,05/19/11,18:00:00,15,1,6,2,6
0,05/19/11,18:15:00,15,1,3,2,3
0,05/19/11,18:30:00,15,1,4,2,4
0,05/19/11,18:45:00,15,1,5,2,5
0,05/19/11,19:00:00,15,1,7,2,7
0,05/19/11,19:15:00,15,1,9,2,9
0,05/19/11,19:30:00,15,1,1,2,1
0,05/19/11,19:45:00,15,1,2,2,2
0,05/19/11,20:00:00,15,1,1,2,1
0,05/19/11,20:15:00,15,1,1,2,1
0,05/19/11,20:30:00,15,1,3,2,3
0,05/19/11,20:45:00,15,1,4,2,4
0,05/19/11,21:00:00,15,1,1,2,1
0,05/19/11,21:15:00,15,1,2,2,2
0,05/19/11,21:30:00,15,1,2,2,2
0,05/19/11,21:45:00,15,1,1,2,1
0,05/19/11,22:00:00,15,1,1,2,1
0,05/19/11,22:15:00,15,1,1,2,1
0,05/19/11,22:30:00,15,1,2,2,2
0,05/19/11,22:45:00,15,1,0,2,0
0,05/19/11,23:00:00,15,1,2,2,2
0,05/19/11,23:15:00,15,1,0,2,0
0,05/19/11,23:30:00,15,1,0,2,0
0,05/19/11,23:45:00,15,1,0,2,0
