-3,COUNT,2,Opposite,Normal,48.00,15,35.00,AB,Main & First,test line 1,Test line 2,Jesse Brady,10,7,10,11,9,11,3,10,14,58,North,South,F,F,F,F,7.00,T,95.00,F,T,T,T,Best Match,40.00,3.40,117.00,3.40,16.00,7.00,7.00,5.00,30,Div By 2,10,12,24,36,48,60,72,84,96,108,120
-2,"Main & First","test line 1","Test line 2","Jesse Brady","","","","010108-0000 OMG","Omega","1.18",COUNT,563.27,10/07/10,11:09:00,11/03/10,14:58:00,2,15
-1,1,"North",121.92,,PVR,Normal
-1,2,"South",121.92,,PVR,Normal
0,10/07/10,11:09:00,15,1,10,2,10
0,10/07/10,11:15:00,15,1,15,2,15
0,10/07/10,11:30:00,15,1,27,2,27
0,10/07/10,11:45:00,15,1,26,2,26
0,10/07/10,12:00:00,15,1,29,2,29
0,10/07/10,12:15:00,15,1,29,2,29
0,10/07/10,12:30:00,15,1,23,2,23
0,10/07/10,12:45:00,15,1,21,2,21
0,10/07/10,13:00:00,15,1,24,2,23
0,10/07/10,13:15:00,15,1,23,2,23
0,10/07/10,13:30:00,15,1,14,2,14
0,10/07/10,13:45:00,15,1,21,2,23
0,10/07/10,14:00:00,15,1,27,2,26
0,10/07/10,14:15:00,15,1,8,2,8
0,10/07/10,14:30:00,15,1,22,2,21
0,10/07/10,14:45:00,15,1,27,2,26
0,10/07/10,15:00:00,15,1,22,2,22
0,10/07/10,15:15:00,15,1,20,2,20
0,10/07/10,15:30:00,15,1,28,2,28
0,10/07/10,15:45:00,15,1,20,2,20
0,10/07/10,16:00:00,15,1,29,2,30
0,10/07/10,16:15:00,15,1,35,2,35
0,10/07/10,16:30:00,15,1,33,2,32
0,10/07/10,16:45:00,15,1,23,2,23
0,10/07/10,17:00:00,15,1,18,2,18
0,10/07/10,17:15:00,15,1,19,2,19
0,10/07/10,17:30:00,15,1,31,2,31
0,10/07/10,17:45:00,15,1,23,2,23
0,10/07/10,18:00:00,15,1,21,2,21
0,10/07/10,18:15:00,15,1,15,2,15
0,10/07/10,18:30:00,15,1,13,2,13
0,10/07/10,18:45:00,15,1,20,2,20
0,10/07/10,19:00:00,15,1,12,2,12
0,10/07/10,19:15:00,15,1,9,2,9
0,10/07/10,19:30:00,15,1,11,2,12
0,10/07/10,19:45:00,15,1,8,2,8
0,10/07/10,20:00:00,15,1,5,2,5
0,10/07/10,20:15:00,15,1,6,2,6
0,10/07/10,20:30:00,15,1,9,2,9
0,10/07/10,20:45:00,15,1,2,2,2
0,10/07/10,21:00:00,15,1,5,2,5
0,10/07/10,21:15:00,15,1,6,2,6
0,10/07/10,21:30:00,15,1,3,2,3
0,10/07/10,21:45:00,15,1,2,2,2
0,10/07/10,22:00:00,15,1,6,2,6
0,10/07/10,22:15:00,15,1,8,2,8
0,10/07/10,22:30:00,15,1,5,2,5
0,10/07/10,22:45:00,15,1,1,2,1
0,10/07/10,23:00:00,15,1,1,2,1
0,10/07/10,23:15:00,15,1,1,2,1
0,10/07/10,23:30:00,15,1,0,2,0
0,10/07/10,23:45:00,15,1,0,2,0
0,10/08/10,00:00:00,15,1,0,2,0
0,10/08/10,00:15:00,15,1,3,2,3
0,10/08/10,00:30:00,15,1,0,2,0
0,10/08/10,00:45:00,15,1,0,2,0
0,10/08/10,01:00:00,15,1,0,2,0
0,10/08/10,01:15:00,15,1,0,2,0
0,10/08/10,01:30:00,15,1,0,2,0
0,10/08/10,01:45:00,15,1,0,2,0
0,10/08/10,02:00:00,15,1,0,2,0
0,10/08/10,02:15:00,15,1,0,2,0
0,10/08/10,02:30:00,15,1,0,2,0
0,10/08/10,02:45:00,15,1,0,2,0
0,10/08/10,03:00:00,15,1,1,2,1
